keys,fr
appBarClose,Fermer
notificationsDisabledDialogTitle,Notifications désactivées
notificationsDisabledDialogMessage,"Les notifications sont désactivées pour l'application. Vous ne recevrez aucun bon plan.\n\nSi vous souhaitez tout de même les recevoir, veuillez réactiver les notifications depuis les paramètres. "
notificationsDisabledDialogPositive,Ouvrir les paramètres
notificationsDisabledDialogNegative,Ignorer
genericDialogErrorTitle,Erreur !
genericDialogPositiveLabel,Ok
genericButtonFilterDeal,Deal
genericButtonFilterAverage,Moyen
genericButtonFilterExpensive,Cher
genericPriceItem,%value$s €
genericTimeItem,Vu il y a %duration$s
genericTimeDurationMinutes,min
genericTimeDurationHours,h
genericTimeDurationDays,j
genericTimeDurationMinutesLong,min
genericTimeDurationHoursLong,heures
genericTimeDurationDaysLong,jours
genericLoadingText,Chargement en cours
genericListLoadingNextItems,Chargement des deals en cours…
genericListEmpty,Aucun deal n'est disponible !
genericListError,Une erreur est survenue lors du chargement des deals.
genericListRetry,Ré-essayer
homePageScreenTitle,Au départ de
homePageAppBarSearchHint,"Destination, région ou type de voyage"
homePageAppBarDefaultLocation,Votre position
homePageListReadMore,Tout voir
homePageErrorMessage,Une erreur est survenue lors du chargement des deals.
homePageErrorButton,Ré-essayer
homePageEmpty,Aucun deal n'est disponible pour cette destination.
subscribeToNotificationsButtonInitial,Rester informé des nouveaux deals
subscribeToNotificationsButtonLoading,Enregistrement en cours
subscribeToNotificationsButtonSuccess,Abonné aux deals !
subscribeToNotificationsButtonError,Une erreur est survenue. Cliquez pour réessayer.
appBarDetailsSubtitle,Plage de dates
buttonCreateAlert,Créez une alerte
titleBestDeal,Meilleure date disponible
titleCalendar,Calendrier des deals
buttonOpenDetails,Voir les détails
buttonListFlights,Voir les vols
titleOutwardFlight,Vol aller - %date$s
titleReturnFlight,Vol retour - %date$s
textCompanyName,Opéré par %company$s
textStopDuration,Escale de %duration$s
rangePickerScreenTitle,Choisissez vos dates
rangePickerTitleDuration,Durée du voyage (jours)
rangePickerButtonNoDuration,Indifférent
rangePickerButtonUpToThreeDays,0-3 jours
rangePickerButtonUpToFiveDays,3-5 jours
rangePickerButtonUpToNineDays,6-9 jours
rangePickerButtonUpToFourteenDays,10-14 jours
rangePickerTitleCalendar,Calendrier des prix
rangePickerTabButtonDeparture,Départ
rangePickerTabButtonOutward,Retour
rangePickerButtonSave,Sélectionner les dates
filtersScreenTitle,Filtres
filtersButtonCloseTooltip,Fermer
filtersMenuDeleteFilters,Effacer
filtersButtonEdit,Editer
filtersButtonCreate,Valider
filtersButtonApply,Appliquer
filtersItemDates,Dates de voyage
filtersItemStopOvers,Escales
filtersItemFlightDuration,Durée de vol
filtersItemFlightDurationSubtitle,%startDuration$d - %endDuration$d H
filtersItemFlightDurationMinValue,filtersItemFlightDurationMinValue
filtersItemFlightDurationMaxValue,24
filtersItemBudget,Budget
filtersItemBudgetSubtitle,%startBudget$d - %endBudget$d €
filtersItemBudgetMinValue,0
filtersItemBudgetMaxValue,1000
filtersStopsItemStopOversNone,Direct
filtersStopsItemStopOversOne,1 Escale
filtersStopsItemStopOversMultiple,2 Escales ou +
alertsListScreenTitle,Alertes
alertsListError,Une erreur est survenue lors du chargement de vos notifications et alertes.
alertsListTabNotifications,Notifications
alertsListTabManage,Gérer mes alertes
alertsListNotificationsEmpty,0 notification
alertsListNotificationsErrorMessage,Une erreur est survenue lors du chargement de vos notifications.
alertsListNotificationsErrorButton,Ré-essayer
alertsListNotificationsItemCities,%departureCity$s - %arrivalCity$s
alertsListNotificationsItemJourney,%departureDate$s - %arrivalDate$s
alertsListNotificationsItemNotificationDate,Il y a %date$s
alertsListNotificationsItemNotificationDateRange,%startDate$s - %endDate$s
alertsListNotificationsItemNotificationDateRangeFlexible,Du %startDate$s au %endDate$s
alertsListNotificationsItemNotificationDateUnknown,?
alertsListNotificationsItemButtonDeleteTooltip,Supprimer la notification
alertsListManageEmpty,0 alerte
alertsListManageErrorMessage,Une erreur est survenue lors du chargement de vos notifications.
alertsListManageErrorButton,Ré-essayer
alertsListManageItemButtonDeleteTooltip,Supprimer l'alerte
alertsListManageItemButtonEditTooltip,Modifier les filtres
alertsListManageItemSingleNotification,1 nouveau deal
alertsListManageItemMultipleNotifications,%count$d nouveaux deals
alertsListManageItemUpdateLoading,Mise à jour en cours
alertsListManageItemUpdateErrorDialogTitle,Mise à jour de l'alerte
alertsListManageItemUpdateErrorDialogMessage,La mise à jour de l'alerte avec les nouveaux filtres a échoué.\n\nMerci de ré-essayer ultérieurement.
alertsListManageItemDeleteLoading,Suppression en cours
alertsListManageItemDeleteErrorDialogTitle,Suppression de l'alerte
alertsListManageItemDeleteErrorDialogMessage,Une erreur est survenue lors de la suppression de votre alerte.\n\nMerci de ré-essayer ultérieurement.
alertsListManageItemNoFilter,Aucun filtre
travelDatesScreenTitle,Dates de voyage
travelDatesTabFlexible,Dates flexibles
travelDatesFlexibleRange,Plage de dates
travelDatesFlexibleRangeSubtitle,%startDate$s - %endDate$s
travelDatesFlexibleTripDuration,Durée de séjour
travelDatesFlexibleTripDurationWeekEnd,Week-end
travelDatesFlexibleTripDurationSubtitle,%minLength$d - %maxLength$d jours
travelDatesFlexibleTripDurationSubtitleMax,%minLength$d - %maxLength$d jours+
travelDatesTabFixed,Dates fixes
travelDatesTabFixedSubtitle,%fromDate$s au %toDate$s
travelDatesTabDeparture,Départ
travelDatesTabOutward,Retour
travelDatesButtonValidate,Valider
travelDatesButtonFlexible,+/- 3 j
locationPickerLabelFrom,Au départ de
locationPickerLabelTo,A destination de
locationPickerItemCity,%cityName$s (%countryCode$s) - Tous les aéroports
locationPickerItemAirport,%airportCode$s - %airportName$s
locationPickerNoResult,Aucun résultat
locationPickerErrorLabel,Une erreur est survenue lors du chargement des suggestions.
locationPickerErrorButton,Ré-essayer
locationPickerSearchFieldHintFrom,Sélectionner une ville ou un aéroport
locationPickerSearchFieldHintTo,"Sélectionner une ville, un pays, continent…"
walkthroughStep1Line1,Trouve les meilleurs deals de vols
walkthroughStep1Line2,Mowgli identifie les meilleurs deals pour toi parmi 8 milliards d’offres chaque jour !
walkthroughStep1PositiveButton,Continuer
walkthroughStep2Line1,Ne manque plus aucun deal
walkthroughStep2Line2,Arrête de passer des heures à surveiller les meilleurs prix et laisse faire Mowgli
walkthroughStep2PositiveButton,Alerte-moi
walkthroughStep2NegativeButton,Peut-être plus\u00A0tard
destinationViewerErrorMessage,Une erreur est survenue lors du chargement des deals.
destinationViewerErrorButton,Ré-essayer
destinationViewerEmpty,Aucun deal n'est disponible pour cette destination.
detailsScreenTitle,%departure$s - %arrival$s
detailsTipsTitle,Les conseils de Mowgli
detailsTipsBadgeSuperDeal,Super deal
detailsHopStopOversSingle,"1 escale, "
detailsHopStopOversMultiple,"%count$d escales, "
detailsHopStopOversItem,"%destinationCode$s, %duration$s"
detailsHopStopOversItemSeparator,\n
detailsShareDeal,Je viens de trouver un super deal pour %destination$s à seulement %price$s euros grâce à Mowgli. Profites-en maintenant !\nTélécharge l’application sur IOS : %iosLink$s\nou sur Android : https://play.google.com/store/apps/details?id=%packageName$s
detailsButtonCalendar,Calendrier des deals
priceCalendarScreenTitle,Calendrier des deals
priceCalendarFlightDurationTitle,Durée du voyage
priceCalendarFlightDurationValue,%minLength$d - %maxLength$d jours
priceCalendarFlightDurationValueMax,%minLength$d - %maxLength$d jours+
priceCalendarTabDeparture,Départ
priceCalendarTabArrival,Retour
priceCalendarButtonConfirm,Sélectionner les dates
priceCalendarErrorMessage,Le chargement des prix a échoué.
